Date,Open,High,Low,Close,Volume
2023-10-04,30765.029296875,30830.849609375,30487.669921875,30526.880859375,137200000.0
2023-10-05,30733.650390625,31083.900390625,30565.3203125,31075.359375,114200000.0
2023-10-06,31003.94921875,31160.44921875,30928.16015625,30994.669921875,94600000.0
2023-10-09,,,,,
2023-10-10,31314.669921875,31818.259765625,31314.669921875,31746.529296875,101000000.0
2023-10-11,31847.099609375,32037.0703125,31804.08984375,31936.509765625,89500000.0
2023-10-12,32120.939453125,32494.66015625,32120.939453125,32494.66015625,100600000.0
2023-10-13,32328.390625,32533.080078125,32249.029296875,32315.990234375,91500000.0
2023-10-16,31983.0390625,31999.7890625,31564.310546875,31659.029296875,84500000.0
2023-10-17,32063.7890625,32260.76953125,31901.390625,32040.2890625,75600000.0
2023-10-18,32033.810546875,32101.470703125,31866.94921875,32042.25,83200000.0
2023-10-19,31579.5390625,31669.419921875,31399.169921875,31430.619140625,80700000.0
2023-10-20,31164.890625,31428.970703125,31093.900390625,31259.359375,84500000.0
2023-10-23,31151.98046875,31177.41015625,30974.259765625,30999.55078125,73500000.0
2023-10-24,31157.009765625,31210.259765625,30551.669921875,31062.349609375,97900000.0
2023-10-25,31302.509765625,31466.919921875,31195.580078125,31269.919921875,78700000.0
2023-10-26,30902.919921875,30943.330078125,30567.609375,30601.779296875,85600000.0
2023-10-27,30713.7890625,31081.48046875,30687.330078125,30991.689453125,89100000.0
2023-10-30,30663.48046875,30762.5,30538.2890625,30696.9609375,187000000.0
2023-10-31,30694.9609375,30973.66015625,30552.650390625,30858.849609375,134300000.0
2023-11-01,31311.220703125,31601.650390625,31301.509765625,31601.650390625,130100000.0
2023-11-02,31987.01953125,32087.130859375,31878.359375,31949.890625,121100000.0
2023-11-03,,,,,
2023-11-06,32450.8203125,32766.5390625,32395.5,32708.48046875,139400000.0
2023-11-07,32551.76953125,32591.109375,32250.9296875,32271.8203125,106700000.0
2023-11-08,32457.23046875,32512.169921875,32049.33984375,32166.48046875,156200000.0
2023-11-09,32316.390625,32723.7109375,32193.19921875,32646.4609375,115500000.0
2023-11-10,32491.240234375,32598.9296875,32248.240234375,32568.109375,111300000.0
2023-11-13,32818.1484375,32913.30859375,32499.279296875,32585.109375,90600000.0
2023-11-14,32760.509765625,32836.26953125,32667.400390625,32695.9296875,88100000.0
2023-11-15,33112.30859375,33556.51953125,33096.9296875,33519.69921875,123800000.0
2023-11-16,33399.58984375,33614.12890625,33233.83984375,33424.41015625,94200000.0
2023-11-17,33344.8515625,33599.62890625,33263.671875,33585.19921875,93200000.0
2023-11-20,33559.62109375,33853.4609375,33352.69140625,33388.03125,94900000.0
2023-11-21,33453.1484375,33460.3203125,33254.73046875,33354.140625,91900000.0
2023-11-22,33182.98828125,33593.5,33182.98828125,33451.828125,75600000.0
2023-11-23,,,,,
2023-11-24,33752.05078125,33817.859375,33622.5703125,33625.53125,80700000.0
2023-11-27,33710.03125,33811.41015625,33397.0390625,33447.671875,82700000.0
2023-11-28,33520.390625,33545.8515625,33298.0390625,33408.390625,84100000.0
2023-11-29,33244.4296875,33516.23046875,33179.0703125,33321.21875,89200000.0
2023-11-30,33260.140625,33486.890625,33161.0703125,33486.890625,152200000.0
2023-12-01,33537.44140625,33551.5703125,33397.421875,33431.51171875,87600000.0
2023-12-04,33318.0703125,33324.37890625,33023.0390625,33231.26953125,87300000.0
2023-12-05,33022.37890625,33089.8203125,32726.6796875,32775.8203125,86100000.0
2023-12-06,32928.921875,33452.12890625,32914.08984375,33445.8984375,91200000.0
2023-12-07,33165.71875,33195.87109375,32814.69140625,32858.30859375,105100000.0
2023-12-08,32600.470703125,32604.349609375,32205.380859375,32307.859375,144200000.0
2023-12-11,32665.08984375,32933.078125,32650.099609375,32791.80078125,105800000.0
2023-12-12,33107.6484375,33172.12890625,32800.23828125,32843.69921875,98100000.0
2023-12-13,32973.46875,33104.46875,32864.37890625,32926.3515625,100000000.0
2023-12-14,33032.30078125,33120.55078125,32515.0390625,32686.25,133400000.0
2023-12-15,32760.560546875,33122.328125,32732.66015625,32970.55078125,141100000.0
2023-12-18,32769.23046875,32790.578125,32541.23046875,32758.98046875,106900000.0
2023-12-19,32774.2109375,33219.390625,32654.4296875,33219.390625,106300000.0
2023-12-20,33467.3203125,33824.05859375,33467.3203125,33675.94140625,118000000.0
2023-12-21,33276.80859375,33337.83984375,33097.7890625,33140.46875,95600000.0
2023-12-22,33257.94921875,33375.19140625,33151.69921875,33169.05078125,89400000.0
2023-12-25,33414.51171875,33414.51171875,33221.5703125,33254.03125,58900000.0
2023-12-26,33295.6796875,33312.26171875,33181.359375,33305.8515625,68300000.0
2023-12-27,33532.96875,33755.75,33521.51953125,33681.23828125,93700000.0
2023-12-28,33477.46875,33571.73046875,33411.23828125,33539.62109375,73300000.0
2023-12-29,33458.640625,33652.7109375,33305.171875,33464.171875,89000000.0
2024-01-02,,,,,
2024-01-03,,,,,
2024-01-04,33193.05078125,33299.390625,32693.1796875,33288.2890625,117300000.0
2024-01-05,33397.51953125,33568.0390625,33257.4296875,33377.421875,115300000.0
2024-01-08,,,,,
2024-01-09,33704.828125,33990.28125,33600.3203125,33763.1796875,112100000.0
